Date/Time,W/m^2
 01/01  01:00:00,-3.0747125627037546
 01/01  02:00:00,-3.696148964249713
 01/01  03:00:00,-4.159234175349432
 01/01  04:00:00,-3.8102759714201433
 01/01  05:00:00,-4.683783569054557
 01/01  06:00:00,-5.23698417913204
 01/01  07:00:00,-7.890873944096309
 01/01  08:00:00,-7.937957302716893
 01/01  09:00:00,-6.997944719771359
 01/01  10:00:00,-4.880906549899114
 01/01  11:00:00,-5.136948904376663
 01/01  12:00:00,-3.2659381196252664
 01/01  13:00:00,-2.6988575223776894
 01/01  14:00:00,-2.7822492520643087
 01/01  15:00:00,-1.9422974137975588
 01/01  16:00:00,-2.7809914841591667
 01/01  17:00:00,-2.632973171869247
 01/01  18:00:00,-5.184420597965465
 01/01  19:00:00,-5.383079214069807
 01/01  20:00:00,-4.594645347767023
 01/01  21:00:00,-5.548384687527417
 01/01  22:00:00,-4.493110275497965
 01/01  23:00:00,-4.751683606298867
 01/01  24:00:00,-4.748800261798396
 01/02  01:00:00,-4.0445472283181685
 01/02  02:00:00,-2.403621835949135
 01/02  03:00:00,-3.6715989469085843
 01/02  04:00:00,-3.421713530737356
 01/02  05:00:00,-4.356153324332832
 01/02  06:00:00,-5.455063417388561
 01/02  07:00:00,-8.70596466746019
 01/02  08:00:00,-8.674518585823657
 01/02  09:00:00,-8.231982429410738
 01/02  10:00:00,-5.9723644140364485
 01/02  11:00:00,-4.769385365152396
 01/02  12:00:00,-4.062101257939166
 01/02  13:00:00,-4.008092723665065
 01/02  14:00:00,-3.4751114409484893
 01/02  15:00:00,-2.861984710906071
 01/02  16:00:00,-2.9936215122328043
 01/02  17:00:00,-4.4789623221176145
 01/02  18:00:00,-5.312290705712661
 01/02  19:00:00,-6.7630115981634455
 01/02  20:00:00,-5.531837689206671
 01/02  21:00:00,-5.128571073393184
 01/02  22:00:00,-4.153706447313951
 01/02  23:00:00,-5.839694740286767
 01/02  24:00:00,-5.315714372528084
 01/03  01:00:00,-5.276369228071008
 01/03  02:00:00,-4.899065638463453
 01/03  03:00:00,-5.447512388982722
 01/03  04:00:00,-5.641774323808017
 01/03  05:00:00,-5.640343266645803
 01/03  06:00:00,-6.985133884189533
 01/03  07:00:00,-10.783325422905243
 01/03  08:00:00,-10.616677993692576
 01/03  09:00:00,-9.807287162100534
 01/03  10:00:00,-7.59442757784775
 01/03  11:00:00,-5.832548486874433
 01/03  12:00:00,-4.308571481309979
 01/03  13:00:00,-3.397720533702197
 01/03  14:00:00,-2.1224737234324174
 01/03  15:00:00,-1.6757246590681079
 01/03  16:00:00,-1.444762200162
 01/03  17:00:00,-2.6222889604353097
 01/03  18:00:00,-3.73464234428911
 01/03  19:00:00,-5.1363260267862865
 01/03  20:00:00,-4.840548194462652
 01/03  21:00:00,-5.191621115816897
 01/03  22:00:00,-5.303623478621503
 01/03  23:00:00,-6.350182782449203
 01/03  24:00:00,-5.353133108556333
 01/04  01:00:00,-4.849087210287067
 01/04  02:00:00,-4.983810871460331
 01/04  03:00:00,-5.1572956474479685
 01/04  04:00:00,-5.808107991036226
 01/04  05:00:00,-5.446110978519754
 01/04  06:00:00,-6.79794064928045
 01/04  07:00:00,-10.227609986438818
 01/04  08:00:00,-10.480266284148964
 01/04  09:00:00,-9.273093027927995
 01/04  10:00:00,-7.219562280387755
