Date/Time,net
 01/01  01:00:00,-0.06963135643455134
 01/01  02:00:00,-0.09406043328714493
 01/01  03:00:00,-0.09528722872895472
 01/01  04:00:00,-0.08296420317534015
 01/01  05:00:00,-0.1076478592583033
 01/01  06:00:00,-0.17036652675352304
 01/01  07:00:00,-0.17412119233281284
 01/01  08:00:00,-0.1618607296693249
 01/01  09:00:00,-0.08250146604702895
 01/01  10:00:00,-0.03763869208116074
 01/01  11:00:00,-0.0060257978699176295
 01/01  12:00:00,0.026381932995512156
 01/01  13:00:00,0.0
 01/01  14:00:00,0.0
 01/01  15:00:00,0.0
 01/01  16:00:00,0.0
 01/01  17:00:00,0.0
 01/01  18:00:00,0.0
 01/01  19:00:00,0.0
 01/01  20:00:00,0.0
 01/01  21:00:00,-0.014761812761287468
 01/01  22:00:00,-0.023211643605154375
 01/01  23:00:00,-0.0606200935426491
 01/01  24:00:00,-0.03347258676250797
 01/02  01:00:00,-0.07043448979623772
 01/02  02:00:00,-0.09755601097201524
 01/02  03:00:00,-0.12908738279967533
 01/02  04:00:00,-0.14944921994791213
 01/02  05:00:00,-0.1475915239755654
 01/02  06:00:00,-0.18208992937078225
 01/02  07:00:00,-6.401111334520462
 01/02  08:00:00,-16.397938520054996
 01/02  09:00:00,-23.57074646757059
 01/02  10:00:00,-18.993634058799472
 01/02  11:00:00,-15.690837457941614
 01/02  12:00:00,-13.321554654420375
 01/02  13:00:00,-11.600991720530583
 01/02  14:00:00,-11.164900661053574
 01/02  15:00:00,-10.095589243643538
 01/02  16:00:00,-9.433264727652253
 01/02  17:00:00,-4.699133511356857
 01/02  18:00:00,-6.390085376146182
 01/02  19:00:00,-7.13949630560837
 01/02  20:00:00,-7.246543662231332
 01/02  21:00:00,-7.303607308206723
 01/02  22:00:00,0.0
 01/02  23:00:00,0.0
 01/02  24:00:00,0.0
 01/03  01:00:00,0.0
 01/03  02:00:00,0.0
 01/03  03:00:00,0.0
 01/03  04:00:00,0.0
 01/03  05:00:00,0.061557843656194884
 01/03  06:00:00,0.036934706193716964
 01/03  07:00:00,0.0
 01/03  08:00:00,-7.030316509715718
 01/03  09:00:00,-12.367461598589001
 01/03  10:00:00,-9.386004002583375
 01/03  11:00:00,-5.999860889614945
 01/03  12:00:00,-3.5325221814911334
 01/03  13:00:00,-3.0836751803190046
 01/03  14:00:00,-3.745758495139504
 01/03  15:00:00,-2.596879358279039
 01/03  16:00:00,-0.8131794598788815
 01/03  17:00:00,1.1970864405689745
 01/03  18:00:00,-0.27268960822082455
 01/03  19:00:00,-0.8783227302498329
 01/03  20:00:00,-1.201228233213576
 01/03  21:00:00,-3.3326423848876265
 01/03  22:00:00,0.0
 01/03  23:00:00,0.0
 01/03  24:00:00,0.0
 01/04  01:00:00,0.0
 01/04  02:00:00,0.0
