Date/Time,net
 01/01  01:00:00,-5.847657553785538
 01/01  02:00:00,-5.428897553930788
 01/01  03:00:00,-5.829212079955166
 01/01  04:00:00,-5.81065096293678
 01/01  05:00:00,-6.308065452131018
 01/01  06:00:00,-6.889647333616699
 01/01  07:00:00,-6.9467570016782005
 01/01  08:00:00,-6.711793737308373
 01/01  09:00:00,-5.521904517219278
 01/01  10:00:00,-4.116180389532592
 01/01  11:00:00,-3.1092528002477273
 01/01  12:00:00,-2.6617534597085992
 01/01  13:00:00,-2.2370862010920485
 01/01  14:00:00,-1.9336559347822009
 01/01  15:00:00,-1.449259370440811
 01/01  16:00:00,-1.4854416752633863
 01/01  17:00:00,-2.8107336438571595
 01/01  18:00:00,-3.4782262923313825
 01/01  19:00:00,-4.202477347962449
 01/01  20:00:00,-4.891429337655915
 01/01  21:00:00,-4.938937739594637
 01/01  22:00:00,-5.25570018917869
 01/01  23:00:00,-5.742555438626521
 01/01  24:00:00,-6.110549630859692
 01/02  01:00:00,-6.196760651729962
 01/02  02:00:00,-6.4375103811056125
 01/02  03:00:00,-6.970804296680418
 01/02  04:00:00,-7.066878152194965
 01/02  05:00:00,-7.130874315710214
 01/02  06:00:00,-7.14922655800808
 01/02  07:00:00,-10.412183412658147
 01/02  08:00:00,-9.457472476207407
 01/02  09:00:00,-7.071647688165201
 01/02  10:00:00,-3.796144751282892
 01/02  11:00:00,-2.2743479773921855
 01/02  12:00:00,-1.027936496996083
 01/02  13:00:00,0.3366015177758186
 01/02  14:00:00,0.5060074661231369
 01/02  15:00:00,1.0785668589217714
 01/02  16:00:00,1.7034306247321807
 01/02  17:00:00,0.6315684607098699
 01/02  18:00:00,-0.25244399828510566
 01/02  19:00:00,-1.826334666767151
 01/02  20:00:00,-2.1675390001676442
 01/02  21:00:00,-2.401579089718588
 01/02  22:00:00,-2.414209578416332
 01/02  23:00:00,-2.7663702597346966
 01/02  24:00:00,-3.7992292223442257
 01/03  01:00:00,-4.279334252162157
 01/03  02:00:00,-4.541884403970595
 01/03  03:00:00,-4.798573439875291
 01/03  04:00:00,-4.7912381197747695
 01/03  05:00:00,-4.714773939412213
 01/03  06:00:00,-4.750702963819927
 01/03  07:00:00,-6.135934832353479
 01/03  08:00:00,-4.6565516615535145
 01/03  09:00:00,-2.954145699438671
 01/03  10:00:00,0.7247176249252449
 01/03  11:00:00,3.10247479999889
 01/03  12:00:00,4.4797600957466575
 01/03  13:00:00,4.815760153089301
 01/03  14:00:00,4.574301884133044
 01/03  15:00:00,4.987897914933444
 01/03  16:00:00,4.97286388279358
 01/03  17:00:00,3.4185426642008796
 01/03  18:00:00,2.8220552806596073
 01/03  19:00:00,0.5507622205916274
 01/03  20:00:00,0.28901350094096223
 01/03  21:00:00,0.18717402418236162
 01/03  22:00:00,0.3609910472267952
 01/03  23:00:00,0.08485714945133616
 01/03  24:00:00,-0.4997569479519193
 01/04  01:00:00,-0.7300973679851666
 01/04  02:00:00,-1.0780800405957969
 01/04  03:00:00,-1.1836783469190868
 01/04  04:00:00,-1.2487197782786685
 01/04  05:00:00,-1.2826059446492408
 01/04  06:00:00,-1.8352721417593418
 01/04  07:00:00,-2.7261397724610132
 01/04  08:00:00,-1.8168425250859643
 01/04  09:00:00,0.24622596696232968
 01/04  10:00:00,3.024929044042082
 01/04  11:00:00,3.6169180326828307
 01/04  12:00:00,4.096804645216906
 01/04  13:00:00,4.28998887640429
 01/04  14:00:00,4.214299311955144
 01/04  15:00:00,4.275375047020347
 01/04  16:00:00,4.335676071323085
 01/04  17:00:00,3.6319803867671494
 01/04  18:00:00,3.5722299832789055
 01/04  19:00:00,1.3833614292418819
 01/04  20:00:00,1.2862995344127253
 01/04  21:00:00,1.1491484344487342
 01/04  22:00:00,1.1461087241294852
 01/04  23:00:00,0.98643374600237
 01/04  24:00:00,0.3494512988120073
 01/05  01:00:00,0.23383184351445063
 01/05  02:00:00,0.18258635949937752
 01/05  03:00:00,0.11717913616731845
 01/05  04:00:00,0.058276522123618335
 01/05  05:00:00,0.030244764220263676
 01/05  06:00:00,0.00654641447983817
 01/05  07:00:00,-0.29309443829499493
 01/05  08:00:00,0.18286379395650432
 01/05  09:00:00,1.0867023920924908
 01/05  10:00:00,4.662885166735327
 01/05  11:00:00,5.948945401789999
 01/05  12:00:00,6.704608571566908
 01/05  13:00:00,7.000670065706411
 01/05  14:00:00,7.8102530957320155
 01/05  15:00:00,8.007878481998642
 01/05  16:00:00,8.433980599233935
 01/05  17:00:00,6.783670328696284
 01/05  18:00:00,6.205164042658537
 01/05  19:00:00,3.268750985486281
 01/05  20:00:00,2.993222739548636
 01/05  21:00:00,2.9035504889462427
 01/05  22:00:00,2.933734033083944
 01/05  23:00:00,2.305388744756942
 01/05  24:00:00,0.6112375679229851
 01/06  01:00:00,-0.10234171157430438
 01/06  02:00:00,-0.582567266887005
 01/06  03:00:00,-0.8337503349855817
 01/06  04:00:00,-0.9334952377330596
 01/06  05:00:00,-1.0138090401218278
 01/06  06:00:00,-0.8026414518758989
 01/06  07:00:00,-1.0833461780538052
 01/06  08:00:00,0.2784337088815816
 01/06  09:00:00,1.4884426287025239
 01/06  10:00:00,3.6638420642017326
 01/06  11:00:00,4.070362668552012
 01/06  12:00:00,5.527648843229058
 01/06  13:00:00,8.388694410581508
 01/06  14:00:00,11.686435642783962
 01/06  15:00:00,13.284780005258835
 01/06  16:00:00,14.831781399980192
 01/06  17:00:00,8.894453069177278
 01/06  18:00:00,5.92888434458251
 01/06  19:00:00,2.779087066784749
 01/06  20:00:00,2.4411073386650486
