Date/Time,net
 01/01  01:00:00,-9.144062150675401
 01/01  02:00:00,-0.0653809955981547
 01/01  03:00:00,-0.170255822169194
 01/01  04:00:00,-0.002570450478771633
 01/01  05:00:00,-0.03888711076285397
 01/01  06:00:00,-18.768933901674043
 01/01  07:00:00,-21.504240678352854
 01/01  08:00:00,-22.363000288254295
 01/01  09:00:00,-21.26266995314157
 01/01  10:00:00,-21.45419488178101
 01/01  11:00:00,-19.107936988335428
 01/01  12:00:00,-17.017512928536956
 01/01  13:00:00,-14.554102325666165
 01/01  14:00:00,-13.732124648139498
 01/01  15:00:00,-11.700928659357878
 01/01  16:00:00,-12.253595289170127
 01/01  17:00:00,-14.088130034131439
 01/01  18:00:00,-16.855483034262345
 01/01  19:00:00,-18.480787988397143
 01/01  20:00:00,-14.92483119326567
 01/01  21:00:00,-14.540290691584554
 01/01  22:00:00,-18.037626513001367
 01/01  23:00:00,-20.31731801991229
 01/01  24:00:00,-20.63052330144042
 01/02  01:00:00,-9.846338872435624
 01/02  02:00:00,-0.0164512335969808
 01/02  03:00:00,-0.0027948783507299006
 01/02  04:00:00,-0.0016749769833470333
 01/02  05:00:00,-1.6743228348256018
 01/02  06:00:00,-23.01309350440555
 01/02  07:00:00,-28.079640147813063
 01/02  08:00:00,-38.442408145573154
 01/02  09:00:00,-31.805126974865658
 01/02  10:00:00,-23.62922648663591
 01/02  11:00:00,-18.84740988840963
 01/02  12:00:00,-15.556678041828548
 01/02  13:00:00,-12.399858771968601
 01/02  14:00:00,-11.288539301731229
 01/02  15:00:00,-10.918657203314686
 01/02  16:00:00,-10.70480577660434
 01/02  17:00:00,-10.983386593464422
 01/02  18:00:00,-12.663413537667667
 01/02  19:00:00,-14.697301889043644
 01/02  20:00:00,-16.205909043618835
 01/02  21:00:00,-15.26631298955779
 01/02  22:00:00,-13.734694110843167
 01/02  23:00:00,-14.011687046698263
 01/02  24:00:00,-15.08786084851213
 01/03  01:00:00,-6.541066152750074
 01/03  02:00:00,0.06841377037568687
 01/03  03:00:00,0.02853800211304983
 01/03  04:00:00,0.06227690014816297
 01/03  05:00:00,0.01687792600603917
 01/03  06:00:00,-14.480712199553196
 01/03  07:00:00,-17.02643447152907
 01/03  08:00:00,-24.825057011724784
 01/03  09:00:00,-20.656969814298943
 01/03  10:00:00,-14.130911310837012
 01/03  11:00:00,-10.661610169702946
 01/03  12:00:00,-7.346014565244549
 01/03  13:00:00,-5.092697288933308
 01/03  14:00:00,-4.638120827594956
 01/03  15:00:00,-5.086411170913787
 01/03  16:00:00,-6.1662726158910415
 01/03  17:00:00,-6.797572222754693
 01/03  18:00:00,-7.62803307131432
 01/03  19:00:00,-8.794794639179264
 01/03  20:00:00,-10.369328390777683
 01/03  21:00:00,-9.327928448719907
 01/03  22:00:00,-9.379256291905682
 01/03  23:00:00,-9.267279074704726
 01/03  24:00:00,-8.27365758864431
 01/04  01:00:00,-2.3308032516784203
 01/04  02:00:00,0.07422776076306233
 01/04  03:00:00,0.03333004151266434
 01/04  04:00:00,0.06633185594280054
 01/04  05:00:00,0.0272073888418604
 01/04  06:00:00,-8.063455180379536
 01/04  07:00:00,-10.856217394683407
 01/04  08:00:00,-17.856831551611865
 01/04  09:00:00,-14.474982345613922
 01/04  10:00:00,-10.632597722421835
 01/04  11:00:00,-9.54275467696169
 01/04  12:00:00,-7.43966101082811
 01/04  13:00:00,-5.4493803589852545
 01/04  14:00:00,-5.152429516124021
 01/04  15:00:00,-5.954637425837306
 01/04  16:00:00,-6.7903162268351345
 01/04  17:00:00,-6.614197139957984
 01/04  18:00:00,-6.5771082646510655
 01/04  19:00:00,-7.0740146297488655
 01/04  20:00:00,-8.223096363080511
 01/04  21:00:00,-7.195277568314228
 01/04  22:00:00,-8.120721867764859
 01/04  23:00:00,-7.8699097805948455
 01/04  24:00:00,-7.0487600722545745
 01/05  01:00:00,-2.1806957890898437
 01/05  02:00:00,0.039215907880760896
 01/05  03:00:00,0.0748643744775421
 01/05  04:00:00,0.036703529239676604
 01/05  05:00:00,0.0716246039838199
 01/05  06:00:00,-5.7594339279464855
 01/05  07:00:00,-8.170473589000295
 01/05  08:00:00,-14.271987105009279
 01/05  09:00:00,-12.480357939312915
 01/05  10:00:00,-8.123059235584394
 01/05  11:00:00,-7.096365266037878
 01/05  12:00:00,-5.662132060712694
 01/05  13:00:00,-4.922393883548481
 01/05  14:00:00,-4.267674719590929
 01/05  15:00:00,-3.785149038231823
 01/05  16:00:00,-4.690279270429375
 01/05  17:00:00,-4.474917431953645
 01/05  18:00:00,-4.702990168918841
 01/05  19:00:00,-6.5651360287754015
 01/05  20:00:00,-7.172424721965793
 01/05  21:00:00,-6.051869061666058
 01/05  22:00:00,-6.429094889748083
 01/05  23:00:00,-6.60409843825505
 01/05  24:00:00,-5.7182833463248635
