Date/Time,net
 01/01  01:00:00,-6.184580836330149
 01/01  02:00:00,-2.005343147750558
 01/01  03:00:00,-2.3766990790037545
 01/01  04:00:00,-1.8220193071012747
 01/01  05:00:00,-2.3929947159468807
 01/01  06:00:00,-12.264459544312837
 01/01  07:00:00,-14.810122532530828
 01/01  08:00:00,-15.567666765468175
 01/01  09:00:00,-14.688543876186621
 01/01  10:00:00,-13.38316835853364
 01/01  11:00:00,-12.185772896415028
 01/01  12:00:00,-10.268272696009195
 01/01  13:00:00,-8.467511277904268
 01/01  14:00:00,-8.202141883674118
 01/01  15:00:00,-6.544883453181815
 01/01  16:00:00,-7.362314659801379
 01/01  17:00:00,-8.202316701551238
 01/01  18:00:00,-10.71996932448435
 01/01  19:00:00,-11.70663973783655
 01/01  20:00:00,-9.81810644194331
 01/01  21:00:00,-9.944486268988205
 01/01  22:00:00,-11.21077926649443
 01/01  23:00:00,-12.423514525099684
 01/01  24:00:00,-12.549773919647322
 01/02  01:00:00,-7.1260196993603
 01/02  02:00:00,-1.8721603392458164
 01/02  03:00:00,-2.594388356201835
 01/02  04:00:00,-2.1059434087895017
 01/02  05:00:00,-3.005917496747051
 01/02  06:00:00,-14.297017011066977
 01/02  07:00:00,-18.599600387358638
 01/02  08:00:00,-23.853995437178252
 01/02  09:00:00,-20.277877675576352
 01/02  10:00:00,-15.026607113414302
 01/02  11:00:00,-12.366443108421866
 01/02  12:00:00,-10.121473627991955
 01/02  13:00:00,-8.207811012707182
 01/02  14:00:00,-7.365663133519599
 01/02  15:00:00,-6.985675124728639
 01/02  16:00:00,-6.9762876784847325
 01/02  17:00:00,-7.213222287298329
 01/02  18:00:00,-8.462309697696172
 01/02  19:00:00,-10.051983594367659
 01/02  20:00:00,-10.315406490516535
 01/02  21:00:00,-10.162819291354207
 01/02  22:00:00,-8.89893170383241
 01/02  23:00:00,-9.359562213951097
 01/02  24:00:00,-9.446067548722832
 01/03  01:00:00,-5.270220046898103
 01/03  02:00:00,-1.5755345622091081
 01/03  03:00:00,-1.9863971944700693
 01/03  04:00:00,-1.8807217145851496
 01/03  05:00:00,-1.8145129356311005
 01/03  06:00:00,-9.629257939363319
 01/03  07:00:00,-12.387636337114774
 01/03  08:00:00,-16.313886566336603
 01/03  09:00:00,-13.902829749004532
 01/03  10:00:00,-9.801281204814176
 01/03  11:00:00,-7.568962206390168
 01/03  12:00:00,-5.4594979285629615
 01/03  13:00:00,-4.241948209961674
 01/03  14:00:00,-3.610762101109416
 01/03  15:00:00,-4.005917700980999
 01/03  16:00:00,-4.369682062508332
 01/03  17:00:00,-5.072863431274522
 01/03  18:00:00,-5.723273785763302
 01/03  19:00:00,-6.8561907223172
 01/03  20:00:00,-7.195473917060014
 01/03  21:00:00,-6.613751638814916
 01/03  22:00:00,-6.523347747400092
 01/03  23:00:00,-6.636179733468272
 01/03  24:00:00,-5.551742636060737
 01/04  01:00:00,-2.2870163737202933
 01/04  02:00:00,-1.0153153441652247
 01/04  03:00:00,-1.0321652774836068
 01/04  04:00:00,-1.3716823066556327
 01/04  05:00:00,-0.9535375688575133
 01/04  06:00:00,-5.8295731079430535
 01/04  07:00:00,-8.836030149834915
 01/04  08:00:00,-12.414566311097252
 01/04  09:00:00,-10.28607564354824
 01/04  10:00:00,-8.171006138346016
 01/04  11:00:00,-7.124771289092793
 01/04  12:00:00,-5.762674305367083
 01/04  13:00:00,-4.726356473208231
 01/04  14:00:00,-4.245475229585914
 01/04  15:00:00,-4.944607459971252
 01/04  16:00:00,-5.176025134850188
 01/04  17:00:00,-5.386928477226892
 01/04  18:00:00,-5.503532750502846
 01/04  19:00:00,-6.196988228603235
 01/04  20:00:00,-6.337771032725161
 01/04  21:00:00,-5.670827359179195
 01/04  22:00:00,-5.96350714400202
 01/04  23:00:00,-5.929575386157738
 01/04  24:00:00,-4.9261462600437
 01/05  01:00:00,-1.8828550328546514
 01/05  02:00:00,-1.0554305270511848
 01/05  03:00:00,-0.7081072469480859
 01/05  04:00:00,-0.977731736882395
 01/05  05:00:00,-0.8869100886240172
 01/05  06:00:00,-4.154829285264239
 01/05  07:00:00,-6.9663783730336455
 01/05  08:00:00,-10.009125703097844
 01/05  09:00:00,-9.049673930049064
 01/05  10:00:00,-6.711737611166041
 01/05  11:00:00,-5.559442589620762
 01/05  12:00:00,-4.759497720156613
 01/05  13:00:00,-4.202485423427295
 01/05  14:00:00,-3.4221298275383223
 01/05  15:00:00,-3.2912929764101078
 01/05  16:00:00,-3.73812829574075
 01/05  17:00:00,-3.855733764315353
 01/05  18:00:00,-4.210211774097208
 01/05  19:00:00,-5.273638236019053
 01/05  20:00:00,-5.797830888765398
 01/05  21:00:00,-4.795402194020959
 01/05  22:00:00,-4.880368254931138
 01/05  23:00:00,-4.769002527465959
 01/05  24:00:00,-3.905683672337215
 01/06  01:00:00,-0.9930632582108629
 01/06  02:00:00,-0.4785012444308435
 01/06  03:00:00,0.043573303448140366
 01/06  04:00:00,-0.12470536640587071
 01/06  05:00:00,0.007287966192451978
 01/06  06:00:00,-4.093553625202279
 01/06  07:00:00,-6.820571788748586
 01/06  08:00:00,-9.34645247641631
 01/06  09:00:00,-8.283037614602009
 01/06  10:00:00,-6.768526250183127
 01/06  11:00:00,-5.931770724169475
 01/06  12:00:00,-4.439089090187718
 01/06  13:00:00,-3.3275266679305684
 01/06  14:00:00,-2.899289236916783
 01/06  15:00:00,-1.998976734968775
 01/06  16:00:00,-2.1783256727192297
 01/06  17:00:00,-2.562923270771612
 01/06  18:00:00,-3.8743144798066487
 01/06  19:00:00,-4.822848410865281
 01/06  20:00:00,-5.331020965075026
 01/06  21:00:00,-4.5563317781856165
 01/06  22:00:00,-5.113019605467263
 01/06  23:00:00,-5.2822052603712155
 01/06  24:00:00,-4.627775405987816
 01/07  01:00:00,-1.6902807637899664
 01/07  02:00:00,0.05338656983647516
