Date/Time,net
 01/01  01:00:00,0.0
 01/01  02:00:00,0.0
 01/01  03:00:00,0.0
 01/01  04:00:00,0.0
 01/01  05:00:00,0.0
 01/01  06:00:00,0.0
 01/01  07:00:00,0.0
 01/01  08:00:00,-0.8317938376212703
 01/01  09:00:00,-0.47212092771623376
 01/01  10:00:00,-10.393127047326416
 01/01  11:00:00,-5.774109041162234
 01/01  12:00:00,-3.7145563979621676
 01/01  13:00:00,-5.161641196706882
 01/01  14:00:00,-3.877826960036708
 01/01  15:00:00,-1.5546999917675772
 01/01  16:00:00,-0.4003606209967615
 01/01  17:00:00,-3.198774192718578
 01/01  18:00:00,-6.529118257249179
 01/01  19:00:00,-0.23762558722992946
 01/01  20:00:00,-0.0337397671738125
 01/01  21:00:00,-0.5617418838332993
 01/01  22:00:00,0.0
 01/01  23:00:00,-0.12780510216893623
 01/01  24:00:00,-0.940464500871911
 01/02  01:00:00,-0.11882122045153354
 01/02  02:00:00,-0.11879976835257453
 01/02  03:00:00,-0.23764239174022392
 01/02  04:00:00,-0.3564873564927786
 01/02  05:00:00,0.0
 01/02  06:00:00,0.0
 01/02  07:00:00,0.0
 01/02  08:00:00,-0.48012089427636834
 01/02  09:00:00,-10.593703060472032
 01/02  10:00:00,-6.339265057942749
 01/02  11:00:00,-1.6996253144872993
 01/02  12:00:00,-0.5065807349400365
 01/02  13:00:00,-0.7737410646687716
 01/02  14:00:00,-0.883733110874336
 01/02  15:00:00,-1.0966903405905322
 01/02  16:00:00,-1.3506563697828269
 01/02  17:00:00,-3.333792802184682
 01/02  18:00:00,-3.821576201096473
 01/02  19:00:00,-1.8597049146246307
 01/02  20:00:00,-1.5348767966776882
 01/02  21:00:00,-3.042182509486557
 01/02  22:00:00,0.0
 01/02  23:00:00,-0.23910594256953963
 01/02  24:00:00,-0.4288264852587002
 01/03  01:00:00,-0.11881348352104408
 01/03  02:00:00,-0.11881017497797133
 01/03  03:00:00,0.0
 01/03  04:00:00,-0.4753134110446545
 01/03  05:00:00,0.0
 01/03  06:00:00,-0.11880773554918604
 01/03  07:00:00,0.0
 01/03  08:00:00,-0.04896400490914094
 01/03  09:00:00,-5.95922347081621
 01/03  10:00:00,-3.7949765365556125
 01/03  11:00:00,-1.3925341018668778
 01/03  12:00:00,-0.15540762120824395
 01/03  13:00:00,-0.8440308500223269
 01/03  14:00:00,-0.4836338842174666
 01/03  15:00:00,-0.3624423881814615
 01/03  16:00:00,-0.8437775789571983
 01/03  17:00:00,-0.37904000462792264
 01/03  18:00:00,-0.9025471910336931
 01/03  19:00:00,-0.5481901526210616
 01/03  20:00:00,-0.9497233662303853
 01/03  21:00:00,-2.495103292569735
 01/03  22:00:00,-0.11989370472712536
 01/03  23:00:00,-0.11880561219015404
 01/03  24:00:00,-0.4684729396303821
 01/04  01:00:00,0.0
 01/04  02:00:00,0.0
 01/04  03:00:00,-0.1187972097748662
 01/04  04:00:00,-0.356483622116769
 01/04  05:00:00,0.0
 01/04  06:00:00,0.0
 01/04  07:00:00,-0.11880543947224738
 01/04  08:00:00,-0.2377602280571796
 01/04  09:00:00,-7.548745988363678
 01/04  10:00:00,-7.779105713512055
 01/04  11:00:00,-4.95062868883524
 01/04  12:00:00,-2.204571893222493
