Date/Time,net
 01/01  01:00:00,-3.225099521984899
 01/01  02:00:00,-3.9453052999029623
 01/01  03:00:00,-4.583142335838315
 01/01  04:00:00,-3.6414681637237782
 01/01  05:00:00,-4.747102321130908
 01/01  06:00:00,-5.7599851869516305
 01/01  07:00:00,-8.116004386708806
 01/01  08:00:00,-8.772333242682057
 01/01  09:00:00,-8.11441779923167
 01/01  10:00:00,-5.312141835286269
 01/01  11:00:00,-5.263608804494629
 01/01  12:00:00,-3.519032463481432
 01/01  13:00:00,-2.3809202301423733
 01/01  14:00:00,-2.6721591192087377
 01/01  15:00:00,-1.3888382470057528
 01/01  16:00:00,-2.47103403043263
 01/01  17:00:00,-2.316503368971035
 01/01  18:00:00,-4.5844556147063535
 01/01  19:00:00,-4.932491487275959
 01/01  20:00:00,-4.711381690620951
 01/01  21:00:00,-5.348681846391857
 01/01  22:00:00,-4.383932019987495
 01/01  23:00:00,-4.52971103028708
 01/01  24:00:00,-4.4690245378542235
 01/02  01:00:00,-4.405700526284976
 01/02  02:00:00,-3.727869444894652
 01/02  03:00:00,-5.18598183405294
 01/02  04:00:00,-4.2102118405956555
 01/02  05:00:00,-4.337512158668501
 01/02  06:00:00,-5.580940517728406
 01/02  07:00:00,-9.119560626904212
 01/02  08:00:00,-9.265582728783347
 01/02  09:00:00,-8.75062837628705
 01/02  10:00:00,-6.4239877401926915
 01/02  11:00:00,-5.885476328434102
 01/02  12:00:00,-4.686269214155363
 01/02  13:00:00,-4.0157632534457655
 01/02  14:00:00,-3.4427869653079695
 01/02  15:00:00,-3.0526930461425916
 01/02  16:00:00,-3.2477695803651248
 01/02  17:00:00,-3.4430579811322355
 01/02  18:00:00,-4.261205857724675
 01/02  19:00:00,-5.406665299691673
 01/02  20:00:00,-4.4249039374142365
 01/02  21:00:00,-5.059325593150624
 01/02  22:00:00,-4.063169296821652
 01/02  23:00:00,-4.707437381203933
 01/02  24:00:00,-3.804274248933532
 01/03  01:00:00,-3.9993739410461315
 01/03  02:00:00,-3.219482894793903
 01/03  03:00:00,-4.001332391053189
 01/03  04:00:00,-3.823720329318462
 01/03  05:00:00,-3.6459037972682404
 01/03  06:00:00,-4.777803679173442
 01/03  07:00:00,-7.748838202700478
 01/03  08:00:00,-7.802716120948423
 01/03  09:00:00,-7.14868968371012
 01/03  10:00:00,-5.471651098791339
 01/03  11:00:00,-4.476314243077391
 01/03  12:00:00,-3.572981291881374
 01/03  13:00:00,-3.3911991309900387
 01/03  14:00:00,-2.583403374623876
 01/03  15:00:00,-2.9254242310482104
 01/03  16:00:00,-2.5730915091256232
 01/03  17:00:00,-3.34815463979435
 01/03  18:00:00,-3.8185145002122853
 01/03  19:00:00,-4.9175868054551355
 01/03  20:00:00,-4.021619443342345
 01/03  21:00:00,-3.899574828909925
 01/03  22:00:00,-3.6674392028945033
 01/03  23:00:00,-4.005080392231818
 01/03  24:00:00,-2.8298276834771636
 01/04  01:00:00,-2.243229495762166
 01/04  02:00:00,-2.104858449093512
 01/04  03:00:00,-2.097660596479878
 01/04  04:00:00,-2.809696469254066
 01/04  05:00:00,-1.934282526556887
 01/04  06:00:00,-3.5956910355065697
 01/04  07:00:00,-6.815842904986421
 01/04  08:00:00,-6.972301070582637
 01/04  09:00:00,-6.0971689414825585
 01/04  10:00:00,-5.709414554270194
 01/04  11:00:00,-4.706787901223895
 01/04  12:00:00,-4.085687599906057
 01/04  13:00:00,-4.003332587431205
 01/04  14:00:00,-3.3385209430478064
 01/04  15:00:00,-3.9345774941051976
 01/04  16:00:00,-3.5617340428652398
 01/04  17:00:00,-4.159659814495799
 01/04  18:00:00,-4.429957236354627
 01/04  19:00:00,-5.319961827457604
 01/04  20:00:00,-4.45244570236981
 01/04  21:00:00,-4.146377150044162
 01/04  22:00:00,-3.8062924202391817
 01/04  23:00:00,-3.9892409917206306
 01/04  24:00:00,-2.8035324478328247
 01/05  01:00:00,-1.5850142766194586
 01/05  02:00:00,-2.1500769619831304
 01/05  03:00:00,-1.491078868373714
 01/05  04:00:00,-1.9921670030044667
 01/05  05:00:00,-1.8454447812318542
 01/05  06:00:00,-2.5502246425819926
 01/05  07:00:00,-5.762283157066997
 01/05  08:00:00,-5.746264301186406
 01/05  09:00:00,-5.618989920785211
 01/05  10:00:00,-5.300415986747687
 01/05  11:00:00,-4.022519913203645
 01/05  12:00:00,-3.856863379600532
 01/05  13:00:00,-3.4825769633061086
 01/05  14:00:00,-2.5765849354857155
 01/05  15:00:00,-2.7974369145883924
 01/05  16:00:00,-2.785977321052125
 01/05  17:00:00,-3.2365500966770613
 01/05  18:00:00,-3.717433379275574
 01/05  19:00:00,-3.9821404432627054
 01/05  20:00:00,-4.4232370555650045
 01/05  21:00:00,-3.5389353263758587
 01/05  22:00:00,-3.331641620114193
 01/05  23:00:00,-2.933906616676868
 01/05  24:00:00,-2.0930839983495653
 01/06  01:00:00,-0.8358788678487291
 01/06  02:00:00,-2.0188453459181277
 01/06  03:00:00,-1.0080072202657944
 01/06  04:00:00,-1.3066577957972734
 01/06  05:00:00,-1.8799697329800966
 01/06  06:00:00,-2.49075785258207
 01/06  07:00:00,-5.272969653377594
 01/06  08:00:00,-5.264169612578711
 01/06  09:00:00,-5.3956743538025815
 01/06  10:00:00,-4.778278961775342
 01/06  11:00:00,-3.9016948281088126
 01/06  12:00:00,-3.2116487524120507
 01/06  13:00:00,-1.8814867700983031
 01/06  14:00:00,-1.9618861373790586
 01/06  15:00:00,-1.0302783175911
 01/06  16:00:00,-1.7059264020848675
 01/06  17:00:00,-1.923859256632841
 01/06  18:00:00,-3.150618069430728
 01/06  19:00:00,-3.3351961711376905
 01/06  20:00:00,-3.8166359251532356
 01/06  21:00:00,-3.3455482275579995
 01/06  22:00:00,-2.827374768005844
 01/06  23:00:00,-2.3962481444869668
 01/06  24:00:00,-1.9017987392781204
 01/07  01:00:00,-1.1968922000671596
 01/07  02:00:00,-1.0119511920370512
 01/07  03:00:00,-1.162017612089296
 01/07  04:00:00,-0.7498864302553248
 01/07  05:00:00,-1.5032279708314147
 01/07  06:00:00,-2.3829101686780043
 01/07  07:00:00,-5.209554123938481
 01/07  08:00:00,-5.914923528933632
 01/07  09:00:00,-5.808829157432697
 01/07  10:00:00,-4.529474154252613
 01/07  11:00:00,-4.277103407975226
 01/07  12:00:00,-3.0402999872079155
 01/07  13:00:00,-2.3218299815645578
 01/07  14:00:00,-2.4760161389434985
 01/07  15:00:00,-1.8321591604546386
 01/07  16:00:00,-2.424279496345381
 01/07  17:00:00,-2.5799027710526614
