Date/Time,net
 01/01  01:00:00,0.0
 01/01  02:00:00,0.0
 01/01  03:00:00,-0.10945807109218535
 01/01  04:00:00,0.0
 01/01  05:00:00,-0.10945603127086793
 01/01  06:00:00,0.0
 01/01  07:00:00,-0.10945996342316514
 01/01  08:00:00,-7.1009939746774915
 01/01  09:00:00,-9.551921990184553
 01/01  10:00:00,-20.965444256184842
 01/01  11:00:00,-14.716943902895187
 01/01  12:00:00,-12.832768462996018
 01/01  13:00:00,-12.484693600617792
 01/01  14:00:00,-11.160519412986918
 01/01  15:00:00,-7.872085963555513
 01/01  16:00:00,-8.47722256964715
 01/01  17:00:00,-11.873138885598705
 01/01  18:00:00,-15.241426416415221
 01/01  19:00:00,-15.308442419597228
 01/01  20:00:00,-0.3165106383798258
 01/01  21:00:00,0.0
 01/01  22:00:00,-0.10940180896295768
 01/01  23:00:00,0.0
 01/01  24:00:00,-0.10943945461034228
 01/02  01:00:00,0.0
 01/02  02:00:00,-0.0851866406596196
 01/02  03:00:00,-0.02424471730720692
 01/02  04:00:00,0.0
 01/02  05:00:00,-0.10945900683455079
 01/02  06:00:00,-6.422101905751047
 01/02  07:00:00,-9.566512839673564
 01/02  08:00:00,-25.983757021861408
 01/02  09:00:00,-21.20759037808345
 01/02  10:00:00,-13.384221079908897
 01/02  11:00:00,-10.593111886028435
 01/02  12:00:00,-7.950338331124663
 01/02  13:00:00,-7.34982608445532
 01/02  14:00:00,-6.13408354080196
 01/02  15:00:00,-4.899725862643358
 01/02  16:00:00,-3.669724967673593
 01/02  17:00:00,-4.415395006080115
 01/02  18:00:00,-6.8053277035450135
 01/02  19:00:00,-7.858863726215149
 01/02  20:00:00,-9.66258666528299
 01/02  21:00:00,-9.639979489391381
 01/02  22:00:00,0.0
 01/02  23:00:00,-0.10938353094797214
 01/02  24:00:00,0.0
 01/03  01:00:00,-0.10941496007209328
 01/03  02:00:00,0.0
 01/03  03:00:00,-0.10942253149708994
 01/03  04:00:00,0.0
 01/03  05:00:00,-0.10943221575210028
 01/03  06:00:00,-5.29463351235595
 01/03  07:00:00,-4.710579444866712
 01/03  08:00:00,-17.148293396088544
 01/03  09:00:00,-14.003011811506955
 01/03  10:00:00,-7.105792429847669
 01/03  11:00:00,-4.445123413795339
 01/03  12:00:00,-1.8170183551181833
 01/03  13:00:00,-1.282517038195954
 01/03  14:00:00,-0.9241849541328158
 01/03  15:00:00,-0.5364168269953787
 01/03  16:00:00,-0.5009220504062422
 01/03  17:00:00,-0.5329914938117948
 01/03  18:00:00,-2.226766215233172
 01/03  19:00:00,-3.2287520160639365
 01/03  20:00:00,-5.341557479776036
 01/03  21:00:00,-5.291342169168708
 01/03  22:00:00,0.0
 01/03  23:00:00,-0.10936932964982572
 01/03  24:00:00,0.0
 01/04  01:00:00,-0.10938959938975655
 01/04  02:00:00,0.0
 01/04  03:00:00,-0.10940426618527424
 01/04  04:00:00,0.0
 01/04  05:00:00,-0.10938528280174818
 01/04  06:00:00,-4.223249244329586
 01/04  07:00:00,-2.941730837035834
 01/04  08:00:00,-11.998630149454991
 01/04  09:00:00,-8.880116066917314
 01/04  10:00:00,-4.07397524710433
 01/04  11:00:00,-2.998172147710158
 01/04  12:00:00,-1.0126680921919475
