Date/Time,net
 01/01  01:00:00,-12.171871264429415
 01/01  02:00:00,-11.315076466796212
 01/01  03:00:00,-12.325835242217382
 01/01  04:00:00,-12.458050317945995
 01/01  05:00:00,-13.281055826335278
 01/01  06:00:00,-14.26684686411761
 01/01  07:00:00,-14.319617541846267
 01/01  08:00:00,-13.879315560913714
 01/01  09:00:00,-12.706649753056558
 01/01  10:00:00,-11.969920745796973
 01/01  11:00:00,-10.12862785672816
 01/01  12:00:00,-8.770056916069061
 01/01  13:00:00,-7.874921199918025
 01/01  14:00:00,-8.33708807889518
 01/01  15:00:00,-8.062158045565784
 01/01  16:00:00,-8.545402767404543
 01/01  17:00:00,-10.823655531692326
 01/01  18:00:00,-11.31650712213127
 01/01  19:00:00,-9.833079086322694
 01/01  20:00:00,-11.257980174620675
 01/01  21:00:00,-10.304431589639329
 01/01  22:00:00,-10.110302803881748
 01/01  23:00:00,-11.316740033926957
 01/01  24:00:00,-12.01937451095446
 01/02  01:00:00,-12.176904388925161
 01/02  02:00:00,-12.47428023034648
 01/02  03:00:00,-13.298648023001507
 01/02  04:00:00,-13.524408403258048
 01/02  05:00:00,-13.868800513774138
 01/02  06:00:00,-14.194111892788303
 01/02  07:00:00,-15.281869916396706
 01/02  08:00:00,-15.981342239150413
 01/02  09:00:00,-12.89295239866942
 01/02  10:00:00,-13.92535980841841
 01/02  11:00:00,-12.893004436171099
 01/02  12:00:00,-10.090431264050887
 01/02  13:00:00,-9.12493943491759
 01/02  14:00:00,-8.978615200162077
 01/02  15:00:00,-8.764210872882975
 01/02  16:00:00,-8.19474950249615
 01/02  17:00:00,-10.238091788783251
 01/02  18:00:00,-10.434172016632147
 01/02  19:00:00,-9.418751443467462
 01/02  20:00:00,-10.339305347421556
 01/02  21:00:00,-9.559354994923638
 01/02  22:00:00,-9.817268989718684
 01/02  23:00:00,-9.576303786858913
 01/02  24:00:00,-9.369168785848318
 01/03  01:00:00,-9.982285578896315
 01/03  02:00:00,-10.265023724525852
 01/03  03:00:00,-10.716097959050604
 01/03  04:00:00,-10.763787440748244
 01/03  05:00:00,-10.619761181056203
 01/03  06:00:00,-10.931517282548977
 01/03  07:00:00,-11.131132581738274
 01/03  08:00:00,-11.810523466514757
 01/03  09:00:00,-9.922459572267602
 01/03  10:00:00,-10.365808753371839
 01/03  11:00:00,-8.280343453384578
 01/03  12:00:00,-5.172648046504257
 01/03  13:00:00,-4.93069293936843
 01/03  14:00:00,-5.210086458945128
 01/03  15:00:00,-4.747857546704883
 01/03  16:00:00,-4.693626823511292
 01/03  17:00:00,-7.218525810477072
 01/03  18:00:00,-7.651470713381761
 01/03  19:00:00,-7.95372353592741
 01/03  20:00:00,-8.726211507848907
 01/03  21:00:00,-8.05921631536921
 01/03  22:00:00,-7.909720290525541
 01/03  23:00:00,-8.061822128249556
 01/03  24:00:00,-7.19924668511676
 01/04  01:00:00,-7.139866558577554
 01/04  02:00:00,-7.424947451386683
 01/04  03:00:00,-7.5932831362254865
 01/04  04:00:00,-7.659316389585362
 01/04  05:00:00,-7.8958860989681074
 01/04  06:00:00,-8.734871210194319
 01/04  07:00:00,-9.474877279251421
 01/04  08:00:00,-9.992509367285514
 01/04  09:00:00,-8.231805636093341
 01/04  10:00:00,-8.198390303925539
 01/04  11:00:00,-7.512974129047154
 01/04  12:00:00,-5.497802241025549
 01/04  13:00:00,-5.508628515737894
 01/04  14:00:00,-5.489273903663279
 01/04  15:00:00,-5.489224802144967
 01/04  16:00:00,-5.303782128657678
 01/04  17:00:00,-6.931056072732582
 01/04  18:00:00,-6.518016555980493
 01/04  19:00:00,-6.031003900127865
 01/04  20:00:00,-6.396599178505017
 01/04  21:00:00,-5.633983017834107
 01/04  22:00:00,-5.78481896728608
 01/04  23:00:00,-5.70911158540913
 01/04  24:00:00,-5.308625846582869
 01/05  01:00:00,-5.199008635844179
 01/05  02:00:00,-5.108229207397634
 01/05  03:00:00,-5.3018680093662525
 01/05  04:00:00,-5.3568635821622435
 01/05  05:00:00,-5.58709063229895
 01/05  06:00:00,-5.7995640548232075
 01/05  07:00:00,-6.696690668190501
 01/05  08:00:00,-7.846544524784014
 01/05  09:00:00,-7.063603967744541
 01/05  10:00:00,-5.746184791147912
 01/05  11:00:00,-4.883154493063478
 01/05  12:00:00,-3.488073118957582
 01/05  13:00:00,-3.196623583183348
 01/05  14:00:00,-2.6697052139500235
 01/05  15:00:00,-2.823103702186117
 01/05  16:00:00,-2.4710372539945062
 01/05  17:00:00,-3.786233572985705
 01/05  18:00:00,-3.719798283123019
 01/05  19:00:00,-4.106994191764855
