Date/Time,Space Cooling load [W/m^2],Space Heating load [W/m^2],DHW load [W/m^2]
 01/01  01:00:00,0.0,0.09748389900837189,0.0
 01/01  02:00:00,3.3703032683045373e-06,0.13169018292195592,0.0
 01/01  03:00:00,0.0,0.1334021202205366,0.0
 01/01  04:00:00,0.0,0.11614988444547619,0.0
 01/01  05:00:00,0.0,0.1507070029616246,0.0
 01/01  06:00:00,0.0,0.23851313745493224,0.0
 01/01  07:00:00,0.0,0.243769669265938,0.0
 01/01  08:00:00,0.0,0.2266050215370549,0.0
 01/01  09:00:00,0.0,0.11550205246584053,0.0
 01/01  10:00:00,0.0,0.052694168913625036,0.0
 01/01  11:00:00,0.0,0.008436117017884682,0.0
 01/01  12:00:00,0.02232317407312567,0.0,0.0
 01/01  13:00:00,0.0,0.0,0.0
 01/01  14:00:00,0.0,0.0,0.0
 01/01  15:00:00,0.0,0.0,0.0
 01/01  16:00:00,0.0,0.0,0.0
 01/01  17:00:00,0.0,0.0,0.0
 01/01  18:00:00,0.0,0.0,0.0
 01/01  19:00:00,0.0,0.0,0.0
 01/01  20:00:00,0.0,0.0,0.0
 01/01  21:00:00,0.0,0.020666537865802456,0.0
 01/01  22:00:00,0.0,0.032496301047216125,0.0
 01/01  23:00:00,0.0,0.08486813095970874,0.0
 01/01  24:00:00,0.02232317407312567,0.08379632766122817,0.0
 01/02  01:00:00,0.0,0.0986082857147328,0.0
 01/02  02:00:00,5.894498448772964e-06,0.1365881680764366,0.0
 01/02  03:00:00,0.0,0.18072233591954545,0.0
 01/02  04:00:00,0.0,0.20922890792707702,0.0
 01/02  05:00:00,0.0,0.20662813356579157,0.0
 01/02  06:00:00,0.0,0.25492590111909513,0.0
 01/02  07:00:00,0.0,8.961555868328647,0.0
 01/02  08:00:00,0.03159154244693739,23.009383571034654,0.0
 01/02  09:00:00,0.08719643334299314,31.681095776693876,1.4622197403451744
 01/02  10:00:00,0.26585205849860943,24.478836268050166,2.552115729239518
 01/02  11:00:00,0.4863379391281495,20.092453397331536,2.6793872703442068
 01/02  12:00:00,0.6196631249823974,16.615212269814695,3.060225053162885
 01/02  13:00:00,0.5899143333446586,13.85738304749113,3.3600454400583057
 01/02  14:00:00,0.44447735434315466,12.835925672302766,3.530343239449094
 01/02  15:00:00,0.28532662357682953,12.011470542740884,2.5944402664599147
 01/02  16:00:00,0.43543822862646137,11.162543184722203,2.7644797759001865
 01/02  17:00:00,0.7051142685785379,7.319433117959552,0.42599740595181035
 01/02  18:00:00,0.6301601735672706,9.565209740843061,0.4235384365728958
 01/02  19:00:00,0.6330000216618344,10.233746876319776,0.8088752600997032
 01/02  20:00:00,0.7373189436236176,10.30295073338862,1.0621381004579578
 01/02  21:00:00,8.426566249324845e-05,10.225189652858266,0.0
 01/02  22:00:00,0.0,0.0,0.0
 01/02  23:00:00,0.0,0.0,0.0
 01/02  24:00:00,0.0,0.0,0.0
 01/03  01:00:00,0.0,0.0,0.0
 01/03  02:00:00,0.0,0.0,0.0
 01/03  03:00:00,0.0,0.0,0.0
 01/03  04:00:00,0.0,0.0,0.0
 01/03  05:00:00,0.05208740617062644,0.0,0.0
 01/03  06:00:00,0.03125244370237589,0.0,0.0
 01/03  07:00:00,0.0,0.0,0.0
 01/03  08:00:00,0.047047334778012616,9.920285067507445,0.0
 01/03  09:00:00,0.09746987480094843,16.022878926064287,1.4528356502673376
 01/03  10:00:00,0.2758908982667114,11.042979854110094,2.5538997811842816
 01/03  11:00:00,1.0876229078776956,7.518928120024625,2.68039866392485
 01/03  12:00:00,1.6464517839429704,4.6068566079991955,3.062803761339487
 01/03  13:00:00,1.8002629226851135,3.9350620900651405,3.3606999980968344
 01/03  14:00:00,1.4397132234259336,4.094110015063449,3.5320228478002207
 01/03  15:00:00,1.3766962278634263,3.3183687863834432,2.5950688013085164
 01/03  16:00:00,2.9502538815783885,3.253149797601025,2.7666305957500152
 01/03  17:00:00,2.587708412070387,2.179930754704589,0.4256294193789408
 01/03  18:00:00,2.4532357127658626,4.016583309437781,0.4241721395567102
 01/03  19:00:00,2.4541744306057853,4.481696918072088,0.8084980530981591
 01/03  20:00:00,2.45279402310047,4.676649331393961,1.0633293969621862
 01/03  21:00:00,9.0355894055333e-05,4.665848836776478,0.0
 01/03  22:00:00,0.0,0.0,0.0
 01/03  23:00:00,0.0,0.0,0.0
 01/03  24:00:00,0.0,0.0,0.0
 01/04  01:00:00,0.0,0.0,0.0
 01/04  02:00:00,0.0,0.0,0.0
 01/04  03:00:00,0.0,0.0,0.0
 01/04  04:00:00,0.0,0.0,0.0
 01/04  05:00:00,0.0,0.0,0.0
 01/04  06:00:00,0.0,0.0,0.0
 01/04  07:00:00,0.0,0.0,0.0
 01/04  08:00:00,0.054809676936356265,4.258309188021922,0.0
 01/04  09:00:00,0.2265776634828803,8.254614868120331,1.4532418399535358
 01/04  10:00:00,1.1132954259783245,5.634011790161496,2.5545918278426663
 01/04  11:00:00,1.9271426755907868,4.319684706292262,2.681472672386158
 01/04  12:00:00,2.234194146832692,3.4300136285659324,3.0644017758907585
 01/04  13:00:00,2.304988104402592,3.3097091857134298,3.36203426945558
 01/04  14:00:00,2.006924555105149,3.164719554084733,3.5335131700317666
 01/04  15:00:00,1.860224932204463,3.0462892632661096,2.5960542414791923
 01/04  16:00:00,3.7483249709655397,2.94687824020079,2.767875068259543
 01/04  17:00:00,3.3349706376706996,1.6760638818875908,0.4256952078969334
