Date/Time,Space Cooling load [W/m^2],Space Heating load [W/m^2],DHW load [W/m^2]
 01/01  01:00:00,0.0,0.0,0.0
 01/01  02:00:00,0.0,0.0,0.0
 01/01  03:00:00,0.0,0.0,0.0
 01/01  04:00:00,0.0,0.0,0.0
 01/01  05:00:00,0.0,0.0,0.0
 01/01  06:00:00,0.0,0.0,0.0
 01/01  07:00:00,0.0,0.0,0.0
 01/01  08:00:00,0.0,0.0,1.1645113726697784
 01/01  09:00:00,0.0,0.6609692988027273,0.0
 01/01  10:00:00,0.0,14.550377866256984,0.0
 01/01  11:00:00,0.0,8.083752657627127,0.0
 01/01  12:00:00,0.0,4.219622350082356,0.9807566070646786
 01/01  13:00:00,0.0,7.032899628724121,0.19339804666551466
 01/01  14:00:00,0.0,4.756459654047637,0.6724980900037549
 01/01  15:00:00,0.0,1.672444786291161,0.5041352021834473
 01/01  16:00:00,0.0,0.2245562297977198,0.33594863959774623
 01/01  17:00:00,0.0,3.638341966883118,0.8399419029228914
 01/01  18:00:00,0.0,8.804884519077644,0.3358810410712059
 01/01  19:00:00,0.0,0.0,0.3326758221219012
 01/01  20:00:00,0.0,0.0,0.047235674043337506
 01/01  21:00:00,0.0,0.0,0.786438637366619
 01/01  22:00:00,0.0,0.0,0.0
 01/01  23:00:00,0.0,0.17892714303651072,0.0
 01/01  24:00:00,0.019649954043899787,1.349162043366037,0.0
 01/02  01:00:00,0.0,0.0,0.16634970863214696
 01/02  02:00:00,0.0,0.0,0.16631967569360434
 01/02  03:00:00,0.0,0.0,0.3326993484363135
 01/02  04:00:00,0.0,0.0,0.49908229908989
 01/02  05:00:00,0.0,0.0,0.0
 01/02  06:00:00,0.0,0.0,0.0
 01/02  07:00:00,0.0,0.0,0.0
 01/02  08:00:00,0.0,0.5056512769943218,0.16651797499259388
 01/02  09:00:00,0.0,14.497615791408762,0.3335684932520829
 01/02  10:00:00,0.0,8.20637814512104,0.6685929359988094
 01/02  11:00:00,0.0,2.379475440282219,0.0
 01/02  12:00:00,0.0,0.037023242858861105,0.6721897860571902
 01/02  13:00:00,0.0,0.5761849080775536,0.5070525824587263
 01/02  14:00:00,0.0,0.05232747832147251,1.184898876902598
 01/02  15:00:00,0.0,1.0277689440401643,0.5075975327865807
 01/02  16:00:00,0.0,1.2158566951829384,0.6750622225130192
 01/02  17:00:00,0.0,3.4881456559559436,1.1791642671026112
 01/02  18:00:00,0.0,5.181691439150088,0.1685152423849747
 01/02  19:00:00,0.0,1.5923137511604493,1.0112731293140338
 01/02  20:00:00,0.0,1.6436501420599716,0.5051773732887919
 01/02  21:00:00,0.0,3.587324279958906,0.671731233322273
 01/02  22:00:00,0.0,0.0,0.0
 01/02  23:00:00,0.0,0.0,0.33474831959735546
 01/02  24:00:00,0.024765543253990628,0.6413327963824194,0.0
 01/03  01:00:00,0.0,0.0,0.16633887692946173
 01/03  02:00:00,0.0,0.0,0.16633424496915988
 01/03  03:00:00,0.0,0.0,0.0
 01/03  04:00:00,0.0,0.0,0.6654387754625163
 01/03  05:00:00,0.0,0.0,0.0
 01/03  06:00:00,0.0,0.0,0.16633082976886046
 01/03  07:00:00,0.0,0.0,0.0
 01/03  08:00:00,0.0,0.06854960687279732,0.0
 01/03  09:00:00,0.0,8.008849490005005,0.33406336913768825
 01/03  10:00:00,0.0,4.644806596832528,0.6681605543453292
 01/03  11:00:00,0.0,1.6143324748413166,0.3352152677723127
 01/03  12:00:00,0.0,0.04931557044767111,0.16825509924387036
 01/03  13:00:00,0.0,0.0,1.1816431900312576
