Date/Time,Space Cooling load [W/m^2],Space Heating load [W/m^2],DHW load [W/m^2]
 01/01  01:00:00,0.0,0.0,0.0
 01/01  02:00:00,0.0,0.0,0.0
 01/01  03:00:00,0.0,0.0,0.1532412995290595
 01/01  04:00:00,0.0,0.0,0.0
 01/01  05:00:00,0.0,0.0,0.1532384437792151
 01/01  06:00:00,0.0,0.0,0.0
 01/01  07:00:00,0.0,0.0,0.1532439487924312
 01/01  08:00:00,0.0,9.941391564548487,0.0
 01/01  09:00:00,0.0,13.21965137171737,0.15303941454100317
 01/01  10:00:00,0.0,29.13017175465889,0.22145020399989135
 01/01  11:00:00,0.0,20.16855104100619,0.4351704230470715
 01/01  12:00:00,0.0,17.462643364455097,0.5032324837393276
 01/01  13:00:00,0.0,16.797149462796245,0.6814215780686652
 01/01  14:00:00,0.0,15.113683326908285,0.5110438512734007
 01/01  15:00:00,0.0,10.422824048750988,0.5980963002267302
 01/01  16:00:00,0.0,11.279336976193775,0.5887746213122348
 01/01  17:00:00,0.0,16.109705375216226,0.512689064621959
 01/01  18:00:00,0.0,20.6608392625674,0.6771577204139096
 01/01  19:00:00,0.0,21.10246473778317,0.3293546496529473
 01/01  20:00:00,0.0,0.28996664828730334,0.15314824544445274
 01/01  21:00:00,0.0,0.0,0.0
 01/01  22:00:00,0.0,0.0,0.15316253254814075
 01/01  23:00:00,0.0,0.0,0.0
 01/01  24:00:00,0.0,0.0,0.15321523645447918
 01/02  01:00:00,0.0,0.0,0.0
 01/02  02:00:00,0.0,0.0,0.11926129692346746
 01/02  03:00:00,0.0,0.0,0.033942604230089685
 01/02  04:00:00,0.0,0.0,0.0
 01/02  05:00:00,0.0,0.0,0.1532426095683711
 01/02  06:00:00,0.0,8.990942668051465,0.0
 01/02  07:00:00,0.0,13.240077323293882,0.15304065224910612
 01/02  08:00:00,0.0,36.057628873787365,0.3196309568186073
 01/02  09:00:00,0.0,29.363265194718014,0.32736133459881667
 01/02  10:00:00,0.0,18.233222576556237,0.5046869353162178
 01/02  11:00:00,0.0,14.137955568375284,0.692401072064523
 01/02  12:00:00,0.0,10.218402330326454,0.9120713332480754
 01/02  13:00:00,0.0,9.362024394132675,0.9277321241047733
 01/02  14:00:00,0.0,7.663159751316833,0.924557205805911
 01/02  15:00:00,0.0,6.146730811930157,0.7128853957705444
 01/02  16:00:00,0.0,4.436237378152295,0.7013775765907361
 01/02  17:00:00,0.0,5.3400921249422835,0.8414608835698777
 01/02  18:00:00,0.0,8.783394303871052,0.7440644810919671
 01/02  19:00:00,0.0,10.309013647189568,0.6933955695116397
 01/02  20:00:00,0.0,13.01857087118711,0.5090504602090787
 01/02  21:00:00,0.0,12.989620441505478,0.5063508436424553
 01/02  22:00:00,0.0,0.0,0.0
 01/02  23:00:00,0.0,0.0,0.153136943327161
 01/02  24:00:00,0.0,0.0,0.0
 01/03  01:00:00,0.0,0.0,0.15318094410093058
 01/03  02:00:00,0.0,0.0,0.0
 01/03  03:00:00,0.0,0.0,0.15319154409592592
 01/03  04:00:00,0.0,0.0,0.0
 01/03  05:00:00,0.0,0.0,0.1532051020529404
 01/03  06:00:00,0.0,7.41248691729833,0.0
 01/03  07:00:00,0.0,6.441774073524955,0.1530371492884433
 01/03  08:00:00,0.0,23.847807115112207,0.15980363941175205
 01/03  09:00:00,0.0,19.11314719055773,0.4910693455520085
 01/03  10:00:00,0.0,9.443318706740186,0.5047906950465495
 01/03  11:00:00,0.0,5.53083798874508,0.6923347905683952
 01/03  12:00:00,0.0,1.6316850148779312,0.9121406822875259
